sample_idx,mode,Nq,level,bpf,metric,value
6,CBR,1,,20,NISQA_overall_MOS,1.7170847654342651
6,CBR,2,,30,SI-SDR,0.6904008388519287
6,CBR,2,,30,PESQ,1.103176236152649
6,CBR,2,,30,STOI,0.6376311182975769
6,CBR,2,,30,ESTOI,0.45771440863609314
6,CBR,2,,30,ViSQOL-speech,2.745420477859552
6,CBR,2,,30,NISQA_overall_MOS,1.7864843606948853
6,CBR,3,,40,SI-SDR,1.342697262763977
6,CBR,3,,40,PESQ,1.1142914295196533
6,CBR,3,,40,STOI,0.6486161351203918
6,CBR,3,,40,ESTOI,0.4736645817756653
6,CBR,3,,40,ViSQOL-speech,2.7660347066172464
6,CBR,3,,40,NISQA_overall_MOS,1.7736777067184448
6,CBR,4,,50,SI-SDR,1.9345623254776
6,CBR,4,,50,PESQ,1.1217122077941895
6,CBR,4,,50,STOI,0.6531428694725037
6,CBR,4,,50,ESTOI,0.4808870851993561
6,CBR,4,,50,ViSQOL-speech,2.8264682259471705
6,CBR,4,,50,NISQA_overall_MOS,1.7492173910140991
6,CBR,5,,60,SI-SDR,2.3833813667297363
6,CBR,5,,60,PESQ,1.1267855167388916
6,CBR,5,,60,STOI,0.6607295870780945
6,CBR,5,,60,ESTOI,0.4916931688785553
6,CBR,5,,60,ViSQOL-speech,2.8986062848263168
6,CBR,5,,60,NISQA_overall_MOS,1.9531211853027344
6,CBR,6,,70,SI-SDR,2.662410259246826
6,CBR,6,,70,PESQ,1.1409776210784912
6,CBR,6,,70,STOI,0.6687610149383545
6,CBR,6,,70,ESTOI,0.49928179383277893
6,CBR,6,,70,ViSQOL-speech,2.9372338739314796
6,CBR,6,,70,NISQA_overall_MOS,1.870638132095337
6,CBR,7,,80,SI-SDR,2.9109582901000977
6,CBR,7,,80,PESQ,1.1433570384979248
6,CBR,7,,80,STOI,0.6705213785171509
6,CBR,7,,80,ESTOI,0.5023674964904785
6,CBR,7,,80,ViSQOL-speech,2.9425838655321646
6,CBR,7,,80,NISQA_overall_MOS,1.9275035858154297
7,CBR,0,,10,SI-SDR,1.1182456016540527
7,CBR,0,,10,PESQ,1.7573919296264648
7,CBR,0,,10,STOI,0.823485255241394
7,CBR,0,,10,ESTOI,0.675204336643219
7,CBR,0,,10,ViSQOL-speech,3.821671830057036
7,CBR,0,,10,NISQA_overall_MOS,4.537933349609375
7,CBR,1,,20,SI-SDR,5.045063495635986
7,CBR,1,,20,PESQ,2.256575584411621
7,CBR,1,,20,STOI,0.8715738654136658
7,CBR,1,,20,ESTOI,0.7544905543327332
7,CBR,1,,20,ViSQOL-speech,4.16397340116002
7,CBR,1,,20,NISQA_overall_MOS,4.693078517913818
7,CBR,2,,30,SI-SDR,6.771190166473389
7,CBR,2,,30,PESQ,2.5266404151916504
7,CBR,2,,30,STOI,0.8880473971366882
7,CBR,2,,30,ESTOI,0.7829734086990356
7,CBR,2,,30,ViSQOL-speech,4.279413721754422
7,CBR,2,,30,NISQA_overall_MOS,4.865966796875
7,CBR,3,,40,SI-SDR,8.288601875305176
7,CBR,3,,40,PESQ,2.6606125831604004
7,CBR,3,,40,STOI,0.8968631625175476
7,CBR,3,,40,ESTOI,0.7951918244361877
7,CBR,3,,40,ViSQOL-speech,4.324791860516774
7,CBR,3,,40,NISQA_overall_MOS,4.838064193725586
7,CBR,4,,50,SI-SDR,9.072297096252441
7,CBR,4,,50,PESQ,2.758840799331665
7,CBR,4,,50,STOI,0.9017895460128784
7,CBR,4,,50,ESTOI,0.8047277331352234
7,CBR,4,,50,ViSQOL-speech,4.386025825234648
7,CBR,4,,50,NISQA_overall_MOS,4.829196929931641
7,CBR,5,,60,SI-SDR,9.598592758178711
7,CBR,5,,60,PESQ,2.8384082317352295
7,CBR,5,,60,STOI,0.9061535596847534
7,CBR,5,,60,ESTOI,0.8124405145645142
7,CBR,5,,60,ViSQOL-speech,4.418034143562828
7,CBR,5,,60,NISQA_overall_MOS,4.861729145050049
7,CBR,6,,70,SI-SDR,10.173277854919434
7,CBR,6,,70,PESQ,2.8945810794830322
7,CBR,6,,70,STOI,0.9099330306053162
7,CBR,6,,70,ESTOI,0.818738579750061
7,CBR,6,,70,ViSQOL-speech,4.447835097089903
7,CBR,6,,70,NISQA_overall_MOS,4.833353519439697
7,CBR,7,,80,SI-SDR,10.656184196472168
7,CBR,7,,80,PESQ,2.966036081314087
7,CBR,7,,80,STOI,0.9120029211044312
7,CBR,7,,80,ESTOI,0.8230026960372925
7,CBR,7,,80,ViSQOL-speech,4.476355635963862
7,CBR,7,,80,NISQA_overall_MOS,4.847124099731445
8,CBR,0,,10,SI-SDR,-0.9237492680549622
8,CBR,0,,10,PESQ,1.233004093170166
8,CBR,0,,10,STOI,0.6937776207923889
8,CBR,0,,10,ESTOI,0.44520244002342224
8,CBR,0,,10,ViSQOL-speech,3.173153855966207
8,CBR,0,,10,NISQA_overall_MOS,3.324580430984497
8,CBR,1,,20,SI-SDR,1.9417283535003662
8,CBR,1,,20,PESQ,1.2806172370910645
8,CBR,1,,20,STOI,0.7134187817573547
8,CBR,1,,20,ESTOI,0.49374204874038696
8,CBR,1,,20,ViSQOL-speech,3.3053570054438044
8,CBR,1,,20,NISQA_overall_MOS,3.9158008098602295
8,CBR,2,,30,SI-SDR,2.804069995880127
8,CBR,2,,30,PESQ,1.3125247955322266
8,CBR,2,,30,STOI,0.7268451452255249
8,CBR,2,,30,ESTOI,0.5115204453468323
8,CBR,2,,30,ViSQOL-speech,3.380746455632313
8,CBR,2,,30,NISQA_overall_MOS,3.859956979751587
8,CBR,3,,40,SI-SDR,3.5637285709381104
8,CBR,3,,40,PESQ,1.3417158126831055
8,CBR,3,,40,STOI,0.7306336760520935
8,CBR,3,,40,ESTOI,0.516218364238739
8,CBR,3,,40,ViSQOL-speech,3.3861890020005405
8,CBR,3,,40,NISQA_overall_MOS,4.021566867828369
8,CBR,4,,50,SI-SDR,4.036894798278809
8,CBR,4,,50,PESQ,1.3614057302474976
8,CBR,4,,50,STOI,0.7309195399284363
8,CBR,4,,50,ESTOI,0.5174459218978882
8,CBR,4,,50,ViSQOL-speech,3.4009723531733838
8,CBR,4,,50,NISQA_overall_MOS,4.000446319580078
8,CBR,5,,60,SI-SDR,4.308501243591309
8,CBR,5,,60,PESQ,1.3703718185424805
8,CBR,5,,60,STOI,0.734855592250824
8,CBR,5,,60,ESTOI,0.5196431279182434
8,CBR,5,,60,ViSQOL-speech,3.422470638417905
8,CBR,5,,60,NISQA_overall_MOS,4.051624774932861
8,CBR,6,,70,SI-SDR,4.533226490020752
8,CBR,6,,70,PESQ,1.3891785144805908
8,CBR,6,,70,STOI,0.7362212538719177
8,CBR,6,,70,ESTOI,0.5261294841766357
8,CBR,6,,70,ViSQOL-speech,3.4549044635362858
8,CBR,6,,70,NISQA_overall_MOS,4.020705699920654
8,CBR,7,,80,SI-SDR,4.794397830963135
8,CBR,7,,80,PESQ,1.3923826217651367
8,CBR,7,,80,STOI,0.735598623752594
8,CBR,7,,80,ESTOI,0.5275095105171204
8,CBR,7,,80,ViSQOL-speech,3.4756535512964986
8,CBR,7,,80,NISQA_overall_MOS,3.9715635776519775
9,CBR,0,,10,SI-SDR,1.0590918064117432
9,CBR,0,,10,PESQ,1.4949908256530762
9,CBR,0,,10,STOI,0.8348976373672485
9,CBR,0,,10,ESTOI,0.6573441624641418
9,CBR,0,,10,ViSQOL-speech,3.3827473364854943
9,CBR,0,,10,NISQA_overall_MOS,4.416879653930664
9,CBR,1,,20,SI-SDR,4.064320087432861
9,CBR,1,,20,PESQ,1.7671568393707275
9,CBR,1,,20,STOI,0.8728237152099609
9,CBR,1,,20,ESTOI,0.7267153859138489
9,CBR,1,,20,ViSQOL-speech,3.690906909860779
9,CBR,1,,20,NISQA_overall_MOS,4.550652980804443
9,CBR,2,,30,SI-SDR,5.958230018615723
9,CBR,2,,30,PESQ,1.7787253856658936
9,CBR,2,,30,STOI,0.8856770396232605
9,CBR,2,,30,ESTOI,0.7428380846977234
9,CBR,2,,30,ViSQOL-speech,3.7971052078036647
9,CBR,2,,30,NISQA_overall_MOS,4.590156078338623
9,CBR,3,,40,SI-SDR,6.863020896911621
9,CBR,3,,40,PESQ,1.87333083152771
9,CBR,3,,40,STOI,0.8908804059028625
9,CBR,3,,40,ESTOI,0.7542448043823242
9,CBR,3,,40,ViSQOL-speech,3.8530367289543257
9,CBR,3,,40,NISQA_overall_MOS,4.645011901855469
9,CBR,4,,50,SI-SDR,7.513208389282227
9,CBR,4,,50,PESQ,1.932572841644287
9,CBR,4,,50,STOI,0.8951998949050903
